FID,ABSCHNITT_ZUGANG_STR,ACD,AP_TIMESTAMP_MODIFY,BST_BEZEICHNUNG,BST_NUMMER,BST_NUMMER_ALPHA,BST_NUMMER_NUM,BST_TRENNZEICHEN,BST_TRENNZ_KURZTEXT,EDGEOBJECTID_ZUGANG_STR,EXTERNALORGCODE,GEBADR_ANZEIGEN_J_N,GEBADR_REGIONALCODE,GEB_BAUBLOCK,GEB_BAUBLOCK_ID,GEB_BEZEICHNUNG,GEB_BEZIRK,GEB_NAMECAT,GEB_NUMMER,GEB_NUMMER_ALPHA,GEB_NUMMER_NUM,GEB_OBJEKTID,GEB_STATUS,GEB_STATUS_KURZTEXT,GEB_TIMESTAMP_MODIFY,GEB_TRENNZEICHEN,GEB_TRENNZ_KURZTEXT,GEB_WINKEL,GEB_X,GEB_Y,HAUPT_IDENT_PSEUDO,LAGE_ZU_ADR,LAGE_ZU_ADR_TXT,NAME,NAME_BST,NAME_BST_GEB,NAME_GEB,NAME_ONR,NAME_ONR_BST_GEB,NAME_STR,OBJECTID,OBJEKT_ID,OBJEKTID_NAME_STR,ON_BIS_ALPHA,ON_BIS_NUM,ONR_BIS,ONR_VON,ON_VON_ALPHA,ON_VON_NUM,PLATZKENNZEICHEN,PLZ,SCD_NAME_STR,SCD_ZUGANG_STR,SE_ANNO_CAD_DATA,SHAPE,STRABS_ZUGANG_STR,STRASSENSEITE,TOPOGR_NAME_STR,UEBERACD,ZUGADR_ONR_KGNUM,ZUGADR_ONR_STAMMNR,ZUGADR_ONR_TEILNR,ZUGADR_REGIONALCODE,ZUGADR_TYP,ZUGANG_MOEGLICH_J_N,ZUG_BEZIRK,ZUG_OBJEKTID,ZUG_TIMESTAMP_MODIFY,ZUG_TRENNZEICHEN,ZUG_TRENNZ_KURZTEXT,ZUG_WINKEL,ZUG_X,ZUG_Y,ABLAUFDATUM
ADRESSENOGD.415552408,001019,100103,2010-10-25,,,,,,,18793909,90001,1,AT90101,01034004,10011139,,01,8012,2,,2,25509650,d,definitiv,2008-12-10,2,/,71.62000275,2664.96,340423.24,H, ,Normal,Elisabethstraße 6/2,,/2,/2,6,6/2,Elisabethstraße,415552408,10199362,10001001,,,,6,,6,2,1010,01038,01038,,POINT (16.367977368526127 48.20220511065043),01038001019,2,G  ,205846,,,,AT90101,0,1,01,25062104,2010-10-25,0, ,342.16,2674.09,340397.04,
ADRESSENOGD.415552409,005009,101621,2013-05-06,,,,,,,10027756,90001,1,AT90101,01035002,10011142,,01,8012,1,,1,25567584,d,definitiv,2013-05-06,2,/,71.62000275,2409.98,340434.45,I, ,Normal,Elisabethstraße 11/1,,/1,/1,11,11/1,Elisabethstraße,415552409,10201345,10001001,,,,11,,11,2,1010,01038,01038,,POINT (16.364547229763545 48.20230682563684),01038005009,1,G  ,,,,,AT90101,0,1,01,25008407,2008-12-10,0, ,341.35,2401.34,340470.34,
ADRESSENOGD.415552410,006009,001067,2007-07-24,,,,,,,10027757,90001,1,AT90101,01035001,10011141,,01,8012,,,,25549838,d,definitiv,2008-12-10,0, ,322.57998657,2317.16,340503.18,H, ,Normal,Elisabethstraße 15,, ,,15,15,Elisabethstraße,415552410,10053988,10001001,,,,15,,15,2,1010,01038,01038,,POINT (16.36329886627646 48.20292522994264),01038006009,1,G  ,,,,,AT90101,0,1,01,25117590,2008-12-10,0, ,322.3,2322.39,340504.26,
ADRESSENOGD.415552909,001009,000787,2007-07-24,,,,,,,10025665,90001,1,AT90101,01037001,10011156,,01,8012,,,,25547248,d,definitiv,2008-12-10,0, ,341.48001099,2826.59,340347.37,H, ,Normal,Bösendorferstraße 3,, ,,3,3,Bösendorferstraße,415552909,10053489,10000514,,,,3,,3,2,1010,00530,00530,,POINT (16.370151291472965 48.20152217330248),00530001009,1,G  ,,,,,AT90101,0,1,01,25144381,2008-12-10,0, ,340.93,2828.27,340345.19,
ADRESSENOGD.415553392,001019,241754,2016-06-07,,,,,,,20110394,90001,1,AT90101,01023001,10011083,,01,8012,2,,2,25750538,d,definitiv,2016-06-07,2,/,335.42001343,3505.75,340966.62,H, ,Normal,Dr.-Karl-Lueger-Platz 2/2,,/2,/2,2,2/2,Dr.-Karl-Lueger-Platz,415553392,25750539,10000836,,,,2,,2,1,1010,00867,00867,,POINT (16.379292438768612 48.20708813812701),00867001019,1,G  ,,,,,AT90101,0,1,01,25082999,2021-10-29,0, ,335.42,3518.03,340993.92,
ADRESSENOGD.415553858,001009,000549,2007-07-24,,,,,,,10045149,90001,1,AT90101,01065004,10011306,,01,8012,,,,25662598,d,definitiv,2008-12-10,0, ,274.45001221,3004.58,341593.7,H, ,Normal,Vorlaufstraße 5,, ,,5,5,Vorlaufstraße,415553858,10052986,10005012,,,,5,,5,2,1010,05117,05117,,POINT (16.372553686991353 48.21272990420489),05117001009,1,G  ,,,,,AT90101,0,1,01,25049168,2008-12-10,0, ,274.03,3008.22,341599.78,
ADRESSENOGD.415554008,005009,001070,2007-07-24,,,,,,,10027756,90001,1,AT90101,01034002,10011137,,01,8012,,,,25599307,d,definitiv,2008-12-10,0, ,341.48001099,2384.97,340495.49,H, ,Normal,Elisabethstraße 22,, ,,22,22,Elisabethstraße,415554008,10053993,10001001,,,,22,,22,2,1010,01038,01038,,POINT (16.36421107546544 48.20285585253282),01038005009,2,G  ,,,,,AT90101,0,1,01,25041102,2008-12-10,0, ,341.35,2384.38,340493.95,
ADRESSENOGD.415553903,001009,000411,2007-07-24,,,,,,,10028272,90001,1,AT90101,01066003,10011312,,01,8012,2,,2,25512739,d,definitiv,2008-12-10,2,/,31.51000023,2557.08,341238.07,I, ,Normal,Fahnengasse 2/2,,/2,/2,2,2/2,Fahnengasse,415553903,10052727,10001092,,,,2,,2,2,1010,01131,01131,,POINT (16.366530428030096 48.20953341683448),01131001009,2,G  ,206066,,,,AT90101,0,1,01,25117481,2008-12-10,0, ,32.18,2530.87,341223.8,
ADRESSENOGD.415556154,003009,000550,2007-07-24,,,,,,,10032362,90001,1,AT90101,01064004,10011301,,01,8012,,,,25685407,d,definitiv,2008-12-10,0, ,328.29998779,2953.42,341452.17,I, ,Normal,Hoher Markt 7,, ,,7,7,Hoher Markt,415556154,10052990,10001994,,,,7,,7,2,1010,02049,02049,,POINT (16.37186441327274 48.21145731748364),02049003009,1,G  ,,,,,AT90101,0,1,01,25096547,2021-10-29,0, ,51.42,2965.02,341444.57,
ADRESSENOGD.415556025,002009,001095,2007-07-24,,,,,,,10024990,90001,1,AT90101,01042003,10011197,,01,8012,,,,25555663,d,definitiv,2008-12-10,0, ,78.48000336,1836.04,341126.16,H, ,Normal,Bartensteingasse 8,, ,,8,8,Bartensteingasse,415556025,10054037,10000352,,,,8,,8,2,1010,00363,00363,,POINT (16.356828630394723 48.208529153189716),00363002009,2,G  ,,,,,AT90101,0,1,01,25017955,2008-12-10,0, ,78.33,1832.74,341127.85,
